id,size,color,source,target
"Берклі, Ентоні",0,#E59247,Angola,Portuguese
"Браунінг, Елізабет Баррет",0,#E59247,Portuguese,Бенудія
"Вордсворт, Вільям",0,#E59247,1950 - 1960,Angola
"Гакслі(Хакслі), Олдос",0,#E59247,Angola,Portuguese
"Генд, Ентоні",0,#E59247,Portuguese,"Круш, Віріату да"
"Гендс, Джон",0,#E59247,1970 - 1980,Angola
"Гіббс, Уолкотт",0,#E59247,Angola,Portuguese
"Годдінг, Вільям(Уїльям)",0,#E59247,Portuguese,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]"
"Голсуорсі, Джон",0,#E59247,1970 - 1980,Angola
"Грейвз, Роберт",0,#E59247,Angola,Portuguese
"Грін, Грехем",0,#E59247,Portuguese,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]"
"Даль, Руальд",0,#E59247,1970 - 1980,Angola
"Данкен, Рональд",0,#E59247,Angola,Portuguese
"Джекобс, Вільям",0,#E59247,Portuguese,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]"
"Джонс, Ернест",0,#E59247,1970 - 1980,Angola
"Джонсон, Бен",0,#E59247,Angola,Portuguese
"Джонсон, Памела Хенсфорд",0,#E59247,Portuguese,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]"
"Діккенс, Чарлз",0,#E59247,1960 - 1970,Angola
"Дойл, Артур Конан",0,#E59247,Angola,French
"Донн, Джон",0,#E59247,French,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]"
"Еміс, Кінгслі",0,#E59247,1980 - 1990,Angola
"Карр, Джон Діксон",0,#E59247,Angola,Portuguese
"Кілті, Джером",0,#E59247,Portuguese,Пепетела
"Кіплінг, Редьярд(Редіард)",0,#E59247,1980 - 1990,Angola
"Кітс, Джон",0,#E59247,Angola,Portuguese
"Кларк, Артур",0,#E59247,Portuguese,Пепетела
"Кліффорд, Френсіс",0,#E59247,1980 - 1990,Angola
"Колвін, Ян",0,#E59247,Angola,Portuguese
"Коллін, Джордж",0,#E59247,Portuguese,"Роша, Жофре"
"Колрідж, Семюел Тейлор(Кольрідж",0,#E59247,1980 - 1990,Angola
"Кольєр, Джон",0,#E59247,Angola,Portuguese
"Корнваль, Баррі",0,#E59247,Portuguese,"Роша, Жофре"
"Коул, Мортімер",0,#E59247,1980 - 1990,Angola
"Крісті, Агата",0,#E59247,Angola,Portuguese
"Крістофер, Д",0,#E59247,Portuguese,"Роша, Жофре"
"Кронін, Арчібальд",0,#E59247,1980 - 1990,Angola
"Лавсі, Пітер",0,#E59247,Angola,Portuguese
"Ларкін, Філіп",0,#E59247,Portuguese,"Роша, Жофре"
"Ле Карре, Джон",0,#E59247,1970 - 1980,Angola
"Ленгдейл, Пітер",0,#E59247,Angola,Portuguese
"Лессінг, Доріс",0,#E59247,Portuguese,"Руй Монтейро, Мануел"
"Ліндсей, Джек",0,#E59247,1970 - 1980,Angola
"Лір, Едвард",0,#E59247,Angola,Portuguese
"Лоуренс, Девід Герберт",0,#E59247,Portuguese,"Сантуш, Арнадду"
"Льюїс, Норман",0,#E59247,1970 - 1980,Argentina
"Макдональд, Ф",0,#E59247,Argentina,Spanish
"Маккей, Чарлз",0,#E59247,Spanish,"Абалос, Хорхе"
"Маккензі, Комптон",0,#E59247,1990 - 2000,Argentina
"Маклін, Алістер",0,#E59247,Argentina,Spanish
"Марло, Крістофер",0,#E59247,Spanish,"Аррієта, Рафаель Альберто"
"Мікеш, Джордж",0,#E59247,1990 - 2000,Argentina
Italian,194,#D1605E,Argentina,Spanish
"Мільтон, Джон",0,#E59247,Spanish,"Банчс, Енріке"
Latin,6,#D1605E,1970 - 1980,Argentina
"Монсаррат, Ніколас",0,#E59247,Argentina,Spanish
"Мортон, Джон",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Мунро, Гектор(псевдонім - Сакі)",0,#E59247,1990 - 2000,Argentina
"Мур, Томас",0,#E59247,Argentina,Spanish
"Орвелл, Джордж",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Парджетер, Едіт",0,#E59247,1980 - 1990,Argentina
"Полден, Джеймс",0,#E59247,Argentina,Spanish
"Поп, Александер",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Прістлі, Джон Бойнтон",0,#E59247,1980 - 1990,Argentina
"Прітчетт, Віктор",0,#E59247,Argentina,Spanish
"Рід, Пірс Пол",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Россетті, Крістіна",0,#E59247,1980 - 1990,Argentina
"Свінберн, Алджернон Чарлз",0,#E59247,Argentina,Spanish
"Сіллітоу, Алан",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Стівенсон, Роберт Льюїс",0,#E59247,1980 - 1990,Argentina
"Тейн, Пол",0,#E59247,Argentina,Spanish
"Тенісон, Альфред",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Толкін, Рональд Руел Джон",0,#E59247,1980 - 1990,Argentina
"Томас, Ділан",0,#E59247,Argentina,Spanish
"Травен, Б",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Тремейн, Роуз",0,#E59247,1980 - 1990,Argentina
"Уайльд(Уайлд), Оскар",0,#E59247,Argentina,Spanish
"Уейд, Роберт",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
