id,size,color,source,target
"Далчев, Атанас",1,#E59247,German,"Рільке, Райнер Марія"
"Даскалов, Стоян Ц",1,#E59247,1990 - 2000,Austria
"Дебелянов, Димчо",1,#E59247,Austria,German
"Джагаров, Георгій",1,#E59247,German,"Рільке, Райнер Марія"
"Дикова, Марта",1,#E59247,1960 - 1970,Austria
"Дилов, Любен",1,#E59247,Austria,German
"Димитрова, Блага",1,#E59247,German,"Рільке, Райнер Марія"
"Дишев, Димитр",1,#E59247,1980 - 1990,Austria
"Донев, Антон",1,#E59247,Austria,German
"Донков, Калін",1,#E59247,German,"Рот, Йозеф"
"Донков, Славчо",1,#E59247,1970 - 1980,Austria
"Драганов, Николай",1,#E59247,Austria,German
"Євтимов, Євтим",1,#E59247,German,"Тракль, Георг"
"Єленков, Лучезар",1,#E59247,1990 - 2000,Austria
"Жеков, Васко",1,#E59247,Austria,German
"Жотев, Добрі",1,#E59247,German,"Фрід, Еріх"
"Зцдаров(3идар), Никола",1,#E59247,1990 - 2000,Austria
"Ісаєв, Младен",1,#E59247,Austria,German
"Ісаєва, Людмила",1,#E59247,German,"Фрітш, Гергарт"
"Йовков, Йордан",1,#E59247,1960 - 1970,Austria
"Каляев, Камен",1,#E59247,Austria,German
"Каралійчев, Ангел",1,#E59247,German,"Фуссенегер, Гертруда"
"Карасимеонов, Александр",1,#E59247,1930 - 1940,Austria
"Караславов, Георгій",1,#E59247,Austria,-
"Караславов, Слав Христов",1,#E59247,-,"Хайду, Юліус"
"Константинов, Георгій",1,#E59247,1980 - 1990,Austria
Old Church Slavonic,1.016889039,#D1605E,Austria,German
"Костянтин-Кирил, або ж Преславський",1,#E59247,German,"Цвейг, Стефан"
"Лазаров, Дончо",1,#E59247,1960 - 1970,Austria
"Левчев, Любомир",1,#E59247,Austria,German
"Левчева, Лена",1,#E59247,German,"Цвейг, Стефан"
Лілянов Ст,1,#E59247,1970 - 1980,Austria
"Люцканова, Весела",1,#E59247,Austria,German
"Мандаджієв, Атанас",1,#E59247,German,"Целан, Пауль"
"Манов, Еміл",1,#E59247,1920 - 1930,Austria
"Марангозов, Николай",1,#E59247,Austria,German
"Марков, Георгі",1,#E59247,German,"Цур Мюлен, Гермінія"
"Матев, Павел",1,#E59247,1920 - 1930,Austria
"Методієв, Димитр",1,#E59247,Austria,German
"Миланов, Александр",1,#E59247,German,"Цур Мюлен, Гермінія"
"Миланов, Димитр",1,#E59247,1920 - 1930,Austria
"Милев(Мілев), Йордан",1,#E59247,Austria,German
"Минков, Светослав",1,#E59247,German,"Цур Мюлен, Гермінія"
"Михайлова, Ліляна",1,#E59247,1990 - 2000,Austria
"Михайловський, Стоян",1,#E59247,Austria,German
"Орлинов, Орлин",1,#E59247,German,"Яндль, Ернст"
"Павурджієв, Васил",1,#E59247,1990 - 2000,Austria
"Паунов, Борис",1,#E59247,Austria,German
"Пенев, Крум",1,#E59247,German,"Яндль, Ернст"
"Пенев, ???",1,#E59247,1960 - 1970,Albania
"Петков, Любен",1,#E59247,Albania,Albanian
"Петров, Ангел",1,#E59247,Albanian,"Буджелі, Каміль"
"Петров, Валері",1,#E59247,1960 - 1970,Albania
"Петров, Івайло",1,#E59247,Albania,Albanian
"Попов, Васил",1,#E59247,Albanian,"Буджелі, Каміль"
"Попов, Йордан",1,#E59247,1960 - 1970,Albania
